Image;Class;Mean;Variance;Standard Deviation;Entropy;Skewness;Kurtosis;Contrast;Energy;ASM;Homogeneity;Dissimilarity;Correlation;Coarseness
Image1;0;653.533.935.546.875;619.587.844.574.841;24.891.521.539.971;0.109059009370733;427.647.702.615.029;189.005.747.905.553;986.139.705.882.353;0.293314496659804;0.086033393950794;0.530941131652007;447.334.558.823.529;0.981938696883038;7,46E-141
Image2;0;874.996.948.242.188;805.957.633.995.078;283.893.929.839.135;0.266538306720193;371.811.562.576.237;144.646.175.387.718;638.588.158.750.813;0.475051295953323;0.225673733786932;0.651352027489261;322.007.156.798.959;0.988834395612519;7,46E-141
Image3;1;734.109.497.070.313;114.380.821.918.438;338.202.338.724.081;0.001466811014785;506.175.041.156.417;264.795.631.645.533;818.672.059.319.178;0.031916712116093;0.001018676512302;0.268274889054872;598.179.979.777.553;0.978013692812984;7,46E-141
Image4;1;595.814.514.160.156;959.711.984.907.359;309.792.185.974.301;0.001477124416674;567.797.740.882.281;334.288.453.356.089;151.229.741.019.215;0.032023748977051;0.001025520498545;0.243850913161766;770.091.896.407.686;0.964189183043956;7,46E-141
Image5;0;731.523.132.324.219;729.540.578.978.274;270.100.088.666.826;0.146760595840014;428.322.090.823.909;190.791.082.932.465;174.988.755.980.861;0.343849413865669;0.118232419415764;0.501139540186341;683.468.899.521.531;0.972788726424128;7,46E-141
Image6;0;752.410.888.671.875;607.395.257.778.402;246.453.901.932.674;0.214085625648148;37.298.861.207.408;144.717.360.547.478;105.077.881.619.938;0.42158745340618;0.177735980869508;0.598169203005808;419.314.641.744.548;0.976484963476823;7,46E-141
Image7;0;123.044.128.417.969;922.746.137.739.561;30.376.736.785.566;0.128833098715211;29.300.947.326.401;896.934.763.269.485;115.203.118.415.508;0.320674560600768;0.102832173816496;0.532292452741065;48.803.202.697.008;0.974745237490247;7,46E-141
Image8;0;159.294.738.769.531;106.995.024.757.066;327.100.939.706.792;0.107657590137778;248.400.219.180.961;651.588.946.409.096;948.742.884.250.474;0.291321372548541;0.084868142103566;0.532261672519743;42.420.540.796.964;0.976774223350244;7,46E-141
Image9;0;199.216.156.005.859;116.612.092.201.469;341.485.127.350.326;0.094975456825205;212.917.301.078.744;490.584.417.633.038;938.189.200.947.455;0.272485776142609;0.07424849820004;0.526643665810971;402.716.681.974.187;0.974310317140636;7,46E-141
Image10;1;84.761.962.890.625;10.957.851.273.195;331.026.453.220.811;0.003001891105522;436.499.992.307.425;196.825.136.630.962;725.887.826.961.771;0.04568508107728;0.002087126633038;0.361431638579309;459.079.476.861.167;0.967829699641667;7,46E-141
Image11;1;980.461.120.605.469;111.482.965.293.078;333.890.648.705.647;0.002436208884111;387.272.769.515.841;155.528.616.320.745;662.854.623.824.451;0.041140002024915;0.00169249976661;0.375617667940156;462.676.332.288.401;0.968749847385631;7,46E-141
Image12;1;123.267.822.265.625;11.506.771.443.364;339.216.323.949.246;0.003768576062697;362.397.773.230.122;147.622.698.995.657;16.548.479.064.774;0.051321049752206;0.002633850147668;0.385291640705322;521.543.600.143.147;0.958601276832679;7,46E-141
Image13;1;101.934.661.865.234;813.924.363.430.001;285.293.596.743.776;0.009774474664878;33.591.346.679.549;121.816.695.073.899;110.568.642.951.252;0.083283924590368;0.006936212095174;0.470426405236625;356.679.841.897.233;0.94688413919156;7,46E-141
Image14;0;715.631.103.515.625;413.438.221.306.825;203.331.803.047.832;0.081825463381282;317.978.135.268.035;102.873.465.883.758;122.402.663.706.992;0.250908148623068;0.062954899045456;0.583888568925053;355.249.722.530.522;0.938238114620825;7,46E-141
Image15;0;529.147.338.867.188;430.963.765.610.282;207.596.667.991.151;0.354116232778659;43.691.843.894.308;196.319.204.434.034;468.642.912.772.586;0.555339875447591;0.308402377262146;0.72132117626202;237.363.707.165.109;0.987914478717326;7,46E-141
Image16;1;127.739.410.400.391;988.403.172.236.022;314.388.799.456.345;0.002234181297473;319.546.227.544.347;111.018.788.556.899;846.641.020.646.669;0.039396010126098;0.001552045613856;0.373189700495666;503.359.953.252.824;0.974600382581462;7,46E-141
