age;gender;height_cm;weight_kg;body fat_%;diastolic;systolic;gripForce;sit and bend forward_cm;sit-ups counts;broad jump_cm;class
27.0;M;172.3;75.24;21.3;80.0;130.0;54.9;18.4;60.0;217.0;C
25.0;M;165.0;55.8;15.7;77.0;126.0;36.4;16.3;53.0;229.0;A
31.0;M;179.6;78.0;20.1;92.0;152.0;44.8;12.0;49.0;181.0;C
32.0;M;174.5;71.1;18.4;76.0;147.0;41.4;15.2;53.0;219.0;B
28.0;M;173.8;67.7;17.1;70.0;127.0;43.5;27.1;45.0;217.0;B
36.0;F;165.4;55.4;22.0;64.0;119.0;23.8;21.0;27.0;153.0;B
42.0;F;164.5;63.7;32.2;72.0;135.0;22.7;0.8;18.0;146.0;D
33.0;M;174.9;77.2;36.9;84.0;137.0;45.9;12.3;42.0;234.0;B
54.0;M;166.8;67.5;27.6;85.0;165.0;40.4;18.6;34.0;148.0;C
28.0;M;185.0;84.6;14.4;81.0;156.0;57.9;12.1;55.0;213.0;B
42.0;M;169.2;65.4;19.3;63.0;110.0;43.5;16.0;68.0;211.0;A
57.0;F;153.0;49.0;20.9;69.0;106.0;21.5;30.0;0.0;90.0;D
27.0;F;156.0;53.9;35.5;69.0;116.0;23.1;13.1;28.0;144.0;C
22.0;M;175.7;67.9;11.3;71.0;103.0;52.5;19.2;55.0;232.0;C
24.0;M;181.0;84.4;20.4;80.0;120.0;48.9;7.2;54.0;213.0;C
45.0;F;159.0;63.1;30.9;93.0;144.0;34.1;19.0;30.0;155.0;A
25.0;F;164.2;66.6;30.2;82.0;120.0;25.7;22.9;39.0;178.0;C
26.0;M;179.9;71.5;9.7;64.0;135.0;59.6;17.8;61.0;239.0;A
26.0;M;169.2;70.6;21.0;63.0;129.0;41.3;15.1;53.0;225.0;B
21.0;F;162.7;47.2;18.9;78.0;133.0;25.4;20.5;36.0;137.0;B
25.0;F;161.7;63.36;31.3;89.0;128.0;25.0;10.7;39.0;160.0;C
59.0;F;155.9;62.7;30.2;76.0;143.0;36.8;29.1;25.0;122.0;A
38.0;M;166.7;67.3;23.2;70.0;111.0;26.1;19.7;62.0;215.0;D
44.0;M;170.0;63.3;12.9;65.0;115.0;44.5;11.6;49.0;196.0;B
23.0;F;164.1;59.4;29.6;91.0;126.0;24.6;27.5;32.0;169.0;C
62.0;M;169.0;70.7;30.5;96.0;146.0;39.3;4.0;43.0;131.0;C
47.0;F;158.3;53.5;29.2;70.0;117.0;25.9;8.1;32.0;151.0;D
48.0;M;175.8;84.5;31.4;83.0;125.0;33.8;3.7;24.0;211.0;D
36.0;M;176.0;81.3;24.5;81.0;139.0;46.2;8.1;54.0;232.0;C
50.0;F;159.8;57.1;24.4;63.0;103.0;30.8;24.4;30.0;143.0;A
25.0;M;170.9;70.7;15.7;80.0;127.0;36.4;26.4;38.0;246.0;C
26.0;M;176.7;77.2;16.3;66.0;129.0;50.0;9.1;51.0;223.0;C
28.0;F;159.5;51.54;24.5;82.0;123.0;37.2;23.0;37.0;145.0;A
30.0;M;172.1;79.5;26.7;91.0;148.0;34.7;-2.0;40.0;192.0;D
49.0;F;151.5;52.0;27.6;77.0;144.0;23.8;21.3;39.0;154.0;B
40.0;M;177.6;88.6;20.3;93.0;138.0;51.5;12.1;54.0;224.0;C
21.0;M;172.5;66.4;12.5;82.0;130.0;51.2;6.3;46.0;178.0;D
31.0;M;177.5;79.5;23.0;90.0;148.0;51.2;18.4;62.0;208.0;A
32.0;M;178.0;84.5;21.2;68.0;130.0;52.3;16.2;62.0;232.0;A
27.0;M;177.6;79.7;22.8;59.0;108.0;48.0;1.8;59.0;219.0;D
42.0;M;168.0;61.0;14.9;94.0;151.0;28.9;1.0;32.0;230.0;D
52.0;M;173.6;84.9;30.3;93.0;144.0;42.0;9.0;43.0;185.0;D
39.0;M;173.3;69.8;23.8;76.0;137.0;40.0;18.2;38.0;227.0;C
33.0;F;159.6;60.5;32.1;62.0;106.0;21.9;22.2;24.0;129.0;C
25.0;F;161.8;57.7;21.7;74.0;115.0;29.3;26.6;50.0;190.0;A
31.0;M;169.9;73.1;19.2;97.0;145.0;45.0;14.5;37.0;249.0;D
34.0;M;183.6;76.82;16.3;80.0;120.0;46.3;14.2;55.0;220.0;B
26.0;M;172.1;66.1;24.9;62.0;102.0;19.9;-9.9;44.0;159.0;D
28.0;M;180.1;82.1;15.0;83.0;147.0;52.6;18.8;55.0;247.0;A
58.0;M;164.2;64.0;19.8;93.0;150.0;36.8;18.3;38.0;205.0;B
48.0;M;169.8;75.4;14.7;94.0;149.0;51.4;24.7;55.0;246.0;A
23.0;M;180.1;65.9;14.4;72.0;130.0;45.4;18.1;56.0;234.0;A
38.0;F;157.2;51.7;27.3;64.0;106.0;25.1;14.7;19.0;139.0;C
43.0;F;168.3;69.3;31.9;88.0;139.0;32.1;20.2;33.0;164.0;B
21.0;F;159.5;51.3;35.8;80.0;122.0;16.6;2.1;5.0;105.0;D
56.0;M;166.7;56.9;16.5;90.0;147.0;41.6;17.8;30.0;198.0;B
24.0;M;164.4;66.2;17.1;63.0;110.0;40.2;16.2;43.0;232.0;C
58.0;F;146.5;46.4;32.9;71.0;127.0;18.7;17.4;20.0;111.0;C
42.0;M;174.1;103.1;30.5;78.0;123.0;50.7;3.6;25.0;153.0;D
45.0;M;185.4;80.0;21.9;93.0;144.0;46.2;7.1;22.0;205.0;D
37.0;M;168.9;78.8;23.4;88.0;144.0;42.1;20.9;47.0;241.0;C
31.0;M;175.3;83.6;30.1;93.0;152.0;45.9;7.2;55.0;193.0;D
43.0;F;164.0;50.8;22.4;88.0;124.0;24.0;13.5;28.0;160.0;C
23.0;F;162.4;58.9;29.6;71.0;119.0;28.1;25.5;48.0;178.0;A
59.0;F;165.0;63.7;31.4;77.0;120.0;20.8;25.5;30.0;120.0;B
63.0;M;166.6;75.5;31.6;62.0;122.0;34.1;6.7;17.0;140.0;D
40.0;M;174.2;77.6;17.8;85.0;133.0;49.5;12.1;48.0;213.0;B
27.0;F;150.5;55.7;39.6;66.0;114.0;29.7;13.4;23.0;159.0;D
56.0;F;160.2;62.4;33.3;67.0;103.0;28.8;20.7;15.0;133.0;B
35.0;M;179.0;75.0;10.7;74.0;129.0;47.7;16.6;54.0;233.0;A
30.0;M;172.7;78.0;26.6;79.0;140.0;36.9;3.4;25.0;218.0;D
56.0;M;160.2;62.7;30.2;85.0;140.0;35.4;9.5;27.0;184.0;C
36.0;M;171.5;80.5;21.5;86.0;153.0;46.7;16.8;53.0;220.0;A
60.0;M;175.1;66.5;17.3;85.0;125.0;40.4;13.9;31.0;211.0;C
22.0;M;172.2;70.6;24.3;70.0;118.0;36.7;9.8;50.0;213.0;D
22.0;M;171.9;78.46;22.9;64.0;116.0;43.6;-9.3;46.0;219.0;D
37.0;M;174.0;75.2;18.5;82.0;142.0;39.7;20.5;50.0;224.0;B
21.0;M;170.4;74.3;19.5;82.0;157.0;45.6;12.7;54.0;194.0;B
60.0;F;158.6;62.7;34.6;80.0;137.0;29.3;18.4;12.0;132.0;B
27.0;F;168.5;64.2;26.2;76.0;108.0;25.2;23.1;18.0;164.0;D
59.0;F;156.3;60.5;33.6;79.0;130.0;29.6;22.4;23.0;135.0;A
47.0;F;157.0;54.1;26.8;72.0;117.0;25.1;18.2;25.0;157.0;B
21.0;F;161.3;50.6;23.5;69.0;127.0;27.5;29.4;39.0;175.0;A
51.0;M;177.0;68.7;18.3;84.0;140.0;39.3;11.3;35.0;220.0;B
48.0;M;171.0;66.2;17.3;99.0;144.0;48.8;16.0;49.0;225.0;B
49.0;M;170.0;66.2;18.0;82.0;130.0;39.5;20.0;39.0;156.0;C
41.0;F;158.1;51.0;21.7;86.0;127.0;23.1;28.6;46.0;165.0;A
24.0;F;159.0;45.5;24.5;85.0;135.0;28.5;22.9;57.0;197.0;A
35.0;M;178.4;79.0;15.4;73.0;127.0;52.7;14.7;68.0;260.0;A
26.0;F;156.7;56.3;32.8;78.0;123.0;19.7;22.9;28.0;130.0;C
35.0;M;178.5;78.4;13.8;81.0;136.0;51.5;17.1;64.0;237.0;A
25.0;M;171.2;65.1;11.8;67.0;127.0;45.1;22.2;54.0;239.0;A
30.0;M;176.4;71.7;17.9;68.0;130.0;53.4;24.3;56.0;210.0;B
27.0;M;175.4;86.4;19.8;76.0;135.0;47.6;20.6;48.0;213.0;B
41.0;M;166.7;65.7;21.5;90.0;151.0;49.6;18.7;54.0;242.0;A
50.0;F;158.4;57.2;32.0;69.0;134.0;21.1;18.6;17.0;136.0;C
22.0;M;175.8;72.0;30.4;75.0;115.0;34.6;19.0;54.0;188.0;C
56.0;M;173.0;70.9;19.5;83.0;135.0;47.9;11.1;44.0;162.0;B
46.0;F;159.1;52.2;27.2;84.0;127.0;22.9;17.9;30.0;136.0;D
44.0;M;180.5;79.5;21.7;87.0;127.0;42.3;10.8;33.0;196.0;C
25.0;F;162.2;71.5;41.3;75.0;124.0;24.9;7.0;5.0;120.0;D
25.0;F;156.3;48.6;26.5;73.0;138.0;22.8;29.8;41.0;155.0;A
59.0;M;170.0;59.1;15.0;71.0;115.0;28.3;8.6;15.0;162.0;D
30.0;M;178.4;82.5;30.0;97.0;139.0;39.3;1.9;42.0;200.0;D
24.0;M;176.0;67.2;10.8;81.0;120.0;47.7;17.2;55.0;242.0;A
39.0;M;168.8;70.9;25.5;83.0;128.0;33.7;5.4;33.0;201.0;D
27.0;M;170.3;74.6;22.0;98.0;151.0;47.9;14.5;53.0;170.0;B
33.0;M;172.8;78.8;19.3;87.0;146.0;59.8;19.7;59.0;228.0;A
28.0;F;163.6;52.4;20.3;72.0;118.0;31.0;23.5;23.0;130.0;C
28.0;F;166.2;59.7;21.9;72.0;118.0;32.1;15.6;38.0;165.0;B
35.0;M;179.2;64.7;12.9;88.0;128.0;49.7;22.5;46.0;239.0;A
34.0;M;177.8;76.4;28.9;82.0;130.0;41.1;5.3;38.0;194.0;C
35.0;M;184.7;84.18;16.3;70.0;120.0;48.8;15.3;56.0;229.0;A
34.0;M;173.2;73.77;19.5;80.0;120.0;50.0;18.1;59.0;218.0;B
25.0;M;164.3;61.18;22.0;78.0;145.0;43.3;18.6;47.0;209.0;C
32.0;M;169.2;68.7;15.2;80.0;120.0;48.3;21.1;64.0;254.0;B
21.0;F;169.1;56.1;22.6;77.0;120.0;26.3;31.3;24.0;162.0;C
22.0;M;183.5;76.9;15.7;86.0;143.0;40.9;22.8;56.0;253.0;A
22.0;F;156.9;46.9;23.0;98.0;155.0;20.5;16.5;38.0;155.0;B
24.0;M;172.1;64.5;16.8;88.0;154.0;40.2;21.7;63.0;201.0;B
27.0;M;178.2;75.1;15.9;59.0;129.0;49.2;16.7;55.0;229.0;A
21.0;F;164.4;48.1;16.9;63.0;112.0;26.5;29.4;41.0;215.0;A
46.0;F;164.1;49.1;30.5;59.0;117.0;21.2;4.3;16.0;150.0;D
29.0;F;162.2;51.7;29.2;83.0;118.0;29.7;23.7;44.0;183.0;A
23.0;F;162.7;51.7;19.0;76.0;110.0;32.6;21.4;59.0;200.0;D
51.0;M;177.9;67.2;15.8;63.0;112.0;36.6;13.7;25.0;183.0;D
28.0;M;184.8;84.6;17.2;83.0;123.0;52.5;11.7;56.0;257.0;B
23.0;F;164.7;44.3;26.7;80.0;130.0;22.3;12.5;25.0;130.0;C
30.0;M;178.3;93.5;27.3;81.0;129.0;57.0;16.1;47.0;222.0;A
25.0;F;160.1;51.7;30.7;71.0;126.0;25.7;21.1;47.0;159.0;A
28.0;M;172.7;69.8;27.6;81.0;149.0;46.5;10.0;48.0;185.0;C
22.0;M;178.3;73.2;23.4;93.0;132.0;42.7;11.7;46.0;208.0;C
51.0;M;167.7;72.7;29.0;90.0;148.0;36.3;6.1;37.0;180.0;D
24.0;F;165.1;49.9;19.3;70.0;108.0;31.8;21.6;50.0;204.0;A
27.0;F;160.3;47.8;19.5;60.0;111.0;27.3;28.0;37.0;173.0;A
61.0;F;153.2;62.2;37.0;71.0;111.0;25.7;3.0;0.0;58.0;D
30.0;M;169.5;71.9;20.6;72.0;125.0;45.9;13.0;66.0;235.0;B
42.0;M;180.2;73.3;20.4;95.0;140.0;53.7;26.0;41.0;211.0;C
22.0;M;180.3;91.7;32.1;75.0;134.0;28.6;-6.9;36.0;210.0;D
23.0;F;164.7;62.5;31.4;77.0;121.0;23.2;14.7;41.0;165.0;C
27.0;F;160.2;54.5;20.7;77.0;130.0;22.2;22.5;35.0;171.0;C
29.0;M;167.9;70.7;25.3;75.0;135.0;47.3;16.2;53.0;181.0;B
62.0;M;165.6;67.6;25.7;84.0;152.0;40.5;9.8;41.0;188.0;B
21.0;M;169.2;92.9;33.3;93.0;157.0;44.6;10.9;52.0;226.0;D
25.0;M;184.1;74.7;12.6;94.0;141.0;49.5;13.0;49.0;243.0;C
31.0;F;166.9;64.1;30.5;77.0;133.0;27.5;21.5;37.0;150.0;B
21.0;M;175.0;66.4;16.5;77.0;124.0;39.4;13.0;54.0;248.0;C
38.0;M;171.6;66.3;20.5;92.0;153.0;46.0;26.2;46.0;204.0;B
23.0;F;178.1;64.2;29.2;55.0;102.0;29.9;14.6;27.0;126.0;C
56.0;M;170.1;61.5;22.0;89.0;148.0;37.7;20.5;40.0;195.0;A
59.0;M;170.3;71.0;24.5;75.0;140.0;30.1;22.0;33.0;182.0;D
23.0;F;164.4;54.3;21.7;61.0;109.0;27.0;31.7;44.0;186.0;A
52.0;M;170.0;75.5;30.4;77.0;127.0;39.6;10.2;29.0;186.0;D
33.0;M;178.0;74.66;19.0;96.0;135.0;43.1;18.6;37.0;198.0;C
58.0;F;154.9;51.6;24.1;85.0;132.0;25.3;19.4;31.0;165.0;B
21.0;F;160.9;61.4;36.5;71.0;103.0;27.3;20.8;47.0;169.0;C
27.0;M;176.0;72.86;18.6;78.0;155.0;39.7;10.1;53.0;231.0;B
27.0;M;173.5;65.3;14.3;76.0;137.0;39.1;12.1;46.0;229.0;C
21.0;F;163.0;62.3;32.9;75.0;131.0;33.3;12.2;44.0;167.0;C
57.0;M;168.5;66.0;24.1;88.0;156.0;42.1;9.5;30.0;212.0;B
29.0;F;166.7;52.84;15.2;74.0;125.0;30.7;29.7;48.0;186.0;A
45.0;M;170.0;70.0;20.0;73.0;137.0;34.2;8.5;36.0;219.0;D
24.0;F;155.5;64.4;34.8;60.0;109.0;24.7;16.7;43.0;174.0;B
50.0;F;163.9;52.5;19.6;89.0;151.0;25.4;18.0;26.0;171.0;B
60.0;M;173.0;68.4;11.4;70.0;124.0;47.1;12.3;52.0;195.0;A
62.0;M;163.7;63.9;23.3;93.0;144.0;42.7;25.0;29.0;211.0;B
39.0;F;159.2;45.3;19.6;64.0;105.0;20.8;18.7;36.0;161.0;B
22.0;F;162.2;60.4;27.1;74.0;115.0;34.9;22.6;37.0;148.0;A
54.0;F;156.5;52.2;30.1;72.0;117.0;20.5;13.5;16.0;110.0;C
48.0;M;167.2;68.5;28.2;75.0;112.0;39.2;7.0;31.0;195.0;C
61.0;F;160.9;63.1;30.9;83.0;130.0;27.5;21.1;27.0;140.0;A
60.0;M;172.5;76.0;23.1;86.0;154.0;47.3;16.0;41.0;206.0;A
27.0;M;168.6;67.2;23.7;77.0;123.0;45.0;11.6;41.0;223.0;C
40.0;F;162.5;51.4;22.5;91.0;143.0;26.9;26.3;36.0;174.0;A
36.0;M;172.1;65.64;19.9;86.0;142.0;47.3;15.4;39.0;215.0;B
58.0;M;168.5;74.9;30.1;89.0;139.0;40.6;15.8;29.0;188.0;B
55.0;F;152.8;55.6;31.3;78.0;129.0;23.9;15.7;23.0;130.0;C
25.0;F;158.1;57.9;31.5;61.0;117.0;24.5;13.7;59.0;157.0;C
21.0;M;169.6;64.5;10.9;77.0;134.0;46.2;21.5;65.0;248.0;A
23.0;F;163.8;57.5;31.7;84.0;127.0;32.9;28.8;43.0;164.0;A
64.0;M;165.8;61.3;8.5;66.0;114.0;34.9;7.6;33.0;166.0;B
21.0;M;187.4;84.4;18.8;82.0;151.0;50.8;16.8;49.0;257.0;B
56.0;F;149.4;51.6;35.1;83.0;132.0;25.5;18.8;11.0;117.0;C
22.0;M;167.3;61.4;16.4;68.0;114.0;38.8;19.9;67.0;240.0;A
28.0;F;165.4;62.0;31.1;58.0;102.0;25.0;21.7;31.0;170.0;C
53.0;F;152.7;46.9;27.5;68.0;126.0;23.5;18.5;20.0;152.0;B
23.0;M;165.7;62.7;23.2;70.0;123.0;37.7;25.5;35.0;237.0;D
46.0;M;176.8;80.9;22.7;82.0;141.0;50.1;22.1;45.0;206.0;A
56.0;F;148.2;54.7;37.7;85.0;125.0;22.7;10.7;0.0;134.0;D
44.0;M;172.0;71.0;18.1;69.0;113.0;48.3;28.7;52.0;203.0;A
27.0;M;173.8;68.4;13.9;69.0;110.0;47.8;14.1;49.0;244.0;B
45.0;M;166.5;71.5;26.6;99.0;160.0;47.8;24.2;47.0;201.0;A
